,Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
127,OTTR,Utilities,78.79,227675,0.3015076641,0.023699999,0.07860496372
128,MGY,Energy,23.84,2028501,0.2740255043,0.0212,0.07736506151
129,CNS,Financial Services,91.61,184133,0.3386559645,0.025799999,0.07618350688
130,SSTK,Communication Services,33.5,500250,0.4707731388,0.0358,0.07604512035
131,IPAR,Consumer Defensive,117.54,149111,0.3413864021,0.0255,0.07469541799
132,KLG,Consumer Defensive,18.37,1139701,0.4685274762,0.0348,0.07427525975
133,USPH,Healthcare,84.59,119540,0.2800827361,0.0208,0.07426377037
134,STRA,Consumer Defensive,94.13,137270,0.3467220477,0.0255,0.07354594312
135,WGO,Consumer Cyclical,56.53,574438,0.3360506548,0.0241,0.07171537877
136,SHOO,Consumer Cyclical,45.61,652656,0.2565774898,0.0184,0.07171322789
137,SEE,Consumer Cyclical,33.26,1492746,0.3385007601,0.0241,0.07119629508
138,IBTX,Financial Services,57.07,204811,0.3742967159,0.026600001,0.07106661606
139,KFY,Industrials,71.92,354625,0.2753106642,0.0195,0.07082907615
140,HAYN,Industrials,59.4,84320,0.212833182,0.0148,0.0695380291
141,MCRI,Consumer Cyclical,75.36,128145,0.2289884416,0.0159,0.06943581908
142,MGEE,Utilities,90.6,141382,0.28662827,0.0199,0.06942790395
143,RES,Energy,5.78,1912000,0.4001467695,0.0277,0.06922459985
144,NHC,Healthcare,124.65,57137,0.2842207994,0.0196,0.06896047031
145,SCL,Basic Materials,73.81,125993,0.2949012494,0.020299999,0.06883659882
146,EPC,Consumer Defensive,37.48,434148,0.2350953886,0.016,0.06805748123
147,WD,Financial Services,108.56,212953,0.3518570095,0.0239,0.0679253201
148,JJSF,Consumer Defensive,167.06,90866,0.2755535732,0.0187,0.06786339145
149,SCHL,Communication Services,31.49,183174,0.3799917385,0.0254,0.06684355849
150,RGR,Industrials,41.5,141522,0.2738160996,0.0183,0.06683317754
151,GBX,Industrials,48.07,332840,0.3762721258,0.025,0.06644127557
152,AGO,Financial Services,80.18,388453,0.2404679897,0.0155,0.06445764369
153,BANC,Financial Services,14.31,2178962,0.4398900593,0.027999999,0.06365226585
154,AEO,Consumer Cyclical,19.78,4873709,0.400967902,0.0253,0.06309731995
155,NUS,Consumer Defensive,7.65,858751,0.4977020708,0.031400003,0.06308995851
156,STEL,Financial Services,26.77,190409,0.3078348382,0.0194,0.06302080725
157,PHIN,Consumer Cyclical,45.87,724145,0.34782005,0.0218,0.06267608783
158,AL,Industrials,43.65,764083,0.3093349748,0.019199999,0.06206863293
159,BRC,Industrials,74.6,226433,0.2103857276,0.0128999995,0.06131594403
160,MSEX,Utilities,64.76,128632,0.3288646698,0.0201,0.06111936565
161,EMBC,Healthcare,16.02,415482,0.61553288,0.0375,0.06092282186
162,WERN,Industrials,37.33,931420,0.2467540309,0.015,0.06078928052
163,BANF,Financial Services,104.72,95704,0.2911612309,0.0176,0.06044760817
164,MCY,Financial Services,58.41,238598,0.3624297946,0.0217,0.0598736647
