Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
CFFN,Financial Services,6.05,854811,0.38269496407366355,0.0572,0.14946629919329113
GES,Consumer Cyclical,19.53,1235646,0.4108824651268289,0.061300002,0.14919108796983646
BGS,Consumer Defensive,9.18,929925,0.5535876444751473,0.082399994,0.14884724184572956
UPBD,Technology,31.09,527314,0.3250048519666364,0.0482,0.148305478236208
NOG,Energy,37.25,1497406,0.31479930756474067,0.0464,0.14739549574916874
AMSF,Financial Services,49.25,110141,0.2061385392410307,0.03,0.14553319389210395
HAFC,Financial Services,19.84,212947,0.3580886632893938,0.0519,0.14493617173816076
TRST,Financial Services,34.73,83677,0.2933966275491017,0.0425,0.14485510741900867
PFS,Financial Services,19.44,980663,0.3558736228439014,0.0509,0.14302830199451597
SPTN,Consumer Defensive,21.93,239788,0.2798662426651315,0.0399,0.1425681054636574
ETD,Consumer Cyclical,32.42,255412,0.34020780928151967,0.048499998,0.14255991978087304
RHI,Industrials,66.0,1664392,0.23420755201999546,0.033299997,0.14218156806983326
VRTS,Financial Services,209.85,41457,0.3099026344820687,0.0437,0.14101203132085197
SBSI,Financial Services,35.03,116561,0.30854987692251684,0.0423,0.13709290835537227
NAVI,Financial Services,16.15,694650,0.2921659796343848,0.04,0.13690847938577866
PDCO,Healthcare,22.26,914171,0.35050860826407665,0.0473,0.13494675704045395
PPBI,Financial Services,25.97,582731,0.3940191517167919,0.053000003,0.13451123573326879
CPF,Financial Services,29.01,231955,0.27294164980051794,0.0365,0.1337282163666717
OGN,Healthcare,20.18,1654139,0.42917581495270385,0.0561,0.1307156602153417
BOH,Financial Services,65.99,325598,0.33277710799938165,0.0432,0.1298166218815757
HOPE,Financial Services,13.21,755203,0.34033459813908706,0.044,0.12928453422187242
CMA,Financial Services,61.12,2566668,0.37030079174986935,0.0476,0.12854414859623858
FFBC,Financial Services,26.11,418631,0.29471823633936517,0.0378,0.12825809651111536
EIG,Financial Services,47.65,126033,0.19701790331895797,0.025,0.12689202137902555
HFWA,Financial Services,22.78,208003,0.3256719522532363,0.041199997,0.12650766120615653
WABC,Financial Services,51.85,123700,0.2751701921785892,0.0348,0.12646718645097405
FULT,Financial Services,19.0,1593558,0.2978306893065542,0.0368,0.12356013440281206
HVT,Consumer Cyclical,27.46,219895,0.3811709826513632,0.0469,0.12304189493589267
CVBF,Financial Services,18.57,891293,0.35979720452837527,0.044099998,0.12256904012860965
SFNC,Financial Services,22.07,557887,0.33177077885844974,0.039100002,0.11785245865996549
FDP,Consumer Defensive,29.47,306596,0.2890507718461729,0.033800002,0.11693448103984892
FBP,Financial Services,21.01,1063841,0.2670396164341836,0.031,0.11608764427520989
SMP,Consumer Cyclical,34.36,174420,0.3021914697944984,0.0348,0.11515877673074396
KMT,Industrials,26.17,738365,0.26930911347765046,0.031,0.11510936113408818
UTL,Utilities,61.7,69274,0.23913162056442835,0.0273,0.11416307026048303
PFBC,Financial Services,83.18,85141,0.3022825417556541,0.0345,0.11413163260975752
SJW,Utilities,59.97,191528,0.235051309141988,0.026600001,0.11316678514618132
RDN,Financial Services,35.43,857315,0.2458899192693524,0.0277,0.11265203584721543
MATW,Industrials,24.27,151239,0.35648939183983375,0.0401,0.11248581561724684
ALGT,Industrials,43.06,431790,0.4989169476096878,0.055999998,0.11224312637262798
TMP,Financial Services,61.75,61261,0.37544688996516357,0.040799998,0.10867049132777659
JACK,Consumer Cyclical,45.14,545012,0.3721240840789348,0.0399,0.10722229951538537
MC,Financial Services,70.62,663641,0.32578100050124287,0.0348,0.10682022569289529
INDB,Financial Services,62.4,268715,0.344847452393058,0.0368,0.10671385200797502
PZZA,Consumer Cyclical,51.68,1159822,0.33013582316977874,0.0352,0.10662278229011736
AUB,Financial Services,39.35,483101,0.31646104621779275,0.0334,0.10554221569821162
DAN,Consumer Cyclical,10.47,1068420,0.3758431762267544,0.0394,0.10483095741035649
KALU,Basic Materials,71.28,139333,0.42013411318573374,0.043899998,0.10449043917696015
FCF,Financial Services,17.5,599273,0.2925838656469328,0.0305,0.10424361552733398
BANR,Financial Services,61.29,179487,0.31126354248071597,0.0323,0.10377058534569983
CATY,Financial Services,44.16,329460,0.30493491657567456,0.031600002,0.10362867707922174
AWR,Utilities,84.55,211633,0.21530842740933018,0.0222,0.10310790091738874
UCBI,Financial Services,27.83,563924,0.3209295990719922,0.0328,0.10220310029004889
CHCO,Financial Services,122.34,55353,0.23495657087093366,0.0239,0.10172092617545371
MYE,Consumer Cyclical,14.46,254520,0.37620182952652387,0.0381,0.10127542454525407
MNRO,Consumer Cyclical,27.04,602884,0.42963902142124544,0.0429,0.09985126550676622
OXM,Consumer Cyclical,87.28,319742,0.3123607340486929,0.0309,0.09892408562205228
CBU,Financial Services,59.9,308977,0.3212178351316327,0.031600002,0.09837561475081405
AROC,Energy,20.88,1656328,0.3299138863862356,0.0324,0.09820744544856408
