Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
TMP,Financial Services,57.7,61748,0.3762118252914701,0.0423,0.11243665710727745
MATW,Industrials,24.07,164280,0.3580002724229713,0.0399,0.1114524291558606
MC,Financial Services,67.35,659274,0.3282466428262851,0.0356,0.1084550315380994
INDB,Financial Services,60.8,272204,0.34607818520684347,0.0375,0.10835701758429835
DAN,Consumer Cyclical,9.85,1066548,0.37500864460609107,0.040599998,0.10826416559715903
BANR,Financial Services,57.55,177551,0.3110949292828217,0.0334,0.10736272711676215
AUB,Financial Services,37.73,487775,0.316806361867834,0.0339,0.10700542691166814
JACK,Consumer Cyclical,44.41,548630,0.3708870160017319,0.0396,0.10677106043479043
FCF,Financial Services,16.72,597256,0.2928709013740157,0.0311,0.10619013310674802
KALU,Basic Materials,68.89,138003,0.4213899125886597,0.044699997,0.1060775202837709
CATY,Financial Services,42.32,330861,0.305044065750216,0.0321,0.10523069813226572
MYE,Consumer Cyclical,13.75,257729,0.3764077835628621,0.039300002,0.10440804817586004
AWR,Utilities,83.12,211514,0.21576842620986852,0.0224,0.10381500386072473
AROC,Energy,19.37,1671077,0.3295723242459434,0.0341,0.1034674257858887
CHCO,Financial Services,118.01,55424,0.23522129709708905,0.0242,0.1028818406269195
PTEN,Energy,7.91,7528582,0.39420176300121734,0.0405,0.1027392665412177
UCBI,Financial Services,27.83,563924,0.32152052741010695,0.0328,0.10201525938081968
MNRO,Consumer Cyclical,25.89,598677,0.4299150447866129,0.0433,0.10071757321610326
OXM,Consumer Cyclical,85.15,318354,0.3134995962238555,0.0312,0.09952165928061206
CBU,Financial Services,57.59,310937,0.3214943619834549,0.0319,0.0992241350771858
STBA,Financial Services,42.29,163967,0.32042586762617853,0.0312,0.09737041591285991
CALM,Consumer Defensive,69.38,544812,0.28290750407292975,0.0273,0.09649797056271235
NBHC,Financial Services,41.17,248553,0.28345882278216844,0.0272,0.09595750004543895
HNI,Industrials,51.81,253024,0.2659351626429395,0.0255,0.09588803431097162
TRMK,Financial Services,32.19,305638,0.2983450036290316,0.0286,0.09586217182159296
BKE,Consumer Cyclical,43.98,382040,0.33229943074176543,0.0318,0.09569682358171787
NBTB,Financial Services,44.83,226993,0.31800929033453634,0.030299999,0.09528023212191475
TRN,Industrials,31.9,657458,0.37433687414286343,0.035099998,0.09376580407786463
UFCS,Financial Services,20.5,132069,0.3335053900630797,0.0312,0.09355171139542537
FUN,Consumer Cyclical,40.88,1951487,0.3199640969335358,0.0294,0.09188530926364243
HP,Energy,29.85,1554270,0.36548384780733073,0.0335,0.09165931737059947
WLY,Communication Services,46.86,335340,0.3304441938967384,0.0301,0.09108951089455682
MERC,Basic Materials,6.74,358161,0.49152805753143985,0.044499997,0.09053399153547531
JXN,Financial Services,83.6,742159,0.37280173295774316,0.0335,0.08986009730753372
STC,Financial Services,76.01,176779,0.2927326034817396,0.026300002,0.08984309122793209
HI,Industrials,27.3,484964,0.3637685061172042,0.0326,0.089617433757436
LCII,Consumer Cyclical,117.65,254864,0.39973923855954746,0.0357,0.0893082203504571
BHLB,Financial Services,26.5,287161,0.3056125457998478,0.0272,0.08900158181926818
VBTX,Financial Services,24.8,377840,0.3636195313286945,0.0323,0.0888291117970843
DCOM,Financial Services,25.73,223500,0.43793589892249296,0.038900003,0.08882579184695846
WAFD,Financial Services,35.73,494033,0.3283662907184448,0.0291,0.08862054608690505
